detect_date,type,market,code,name,board_date,purpose_text,detail
2026-08-11,new,sii,5292,華懋,115/08/10,轉讓股份予員工,"預定3,000,000股 115/08/11~115/10/08"
2026-08-11,new,sii,6771,平和環保-創,115/08/11,轉讓股份予員工,"預定1,000,000股 115/08/11~115/10/08"
2026-08-11,new,otc,6945,圓祥生技,115/08/11,轉讓股份予員工,"預定2,000,000股 115/08/12~115/10/11"
2026-08-11,new,otc,8436,大江,115/08/10,轉讓股份予員工,"預定500,000股 115/08/11~115/10/09"
2026-08-11,changed,sii,8466,美吉吉-KY,115/06/10,轉讓股份予員工,"done:N->Y; bought_shares:-->510,000; bought_ratio_pct:-->51.00; bought_amount:-->8,683,148; note:-->為維護股東權益及兼顧市場機制，視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
2026-08-11,changed,sii,9921,巨大,115/05/08,轉讓股份予員工,"done:N->Y; bought_shares:-->4,000,000; bought_ratio_pct:-->100.00; bought_amount:-->287,003,263"
2026-08-13,backfill,sii,3060,銘異,96/11/22,轉讓股份予員工,"預定3,000,000股 96/11/23~96/12/31"
2026-08-14,removed,otc,8927,北基,115/03/06,維護公司信用及股東權益並辦理註銷,本案從 MOPS 表中消失
