market,is_cumulative,seq,code,name,board_date,purpose_code,amount_cap,planned_shares,price_low,price_high,period_start,period_end,done,standard_data,bought_shares,cancelled_transferred_shares,bought_ratio_pct,bought_amount,avg_price,bought_of_outstanding_pct,note,purpose_text
sii,False,563,6269,台郡,105/12/20,1,"12,541,138,479","9,000,000",65.00,115.00,105/12/21,106/02/20,Y,,"1,627,000","1,627,000",18.08,"145,039,802",89.15,0.56,本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。,轉讓股份予員工
sii,False,563,6269,台郡,106/11/01,3,"13,248,793,855","5,000,000",90.00,160.00,106/11/02,106/12/20,Y,,"5,000,000","5,000,000",100.00,"584,750,001",116.95,1.57,,維護公司信用及股東權益並辦理註銷
sii,False,563,6269,台郡,107/06/11,1,"14,367,166,517","5,000,000",70.00,120.00,107/06/12,107/07/11,Y,,"2,506,000","2,506,000",50.12,"233,992,478",93.37,0.79,本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。,轉讓股份予員工
sii,False,563,6269,台郡,109/03/23,1,"19,340,481,462","5,000,000",70.00,120.00,109/03/24,109/03/31,Y,,0,0,0.00,0,0.00,0.00,本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。,轉讓股份予員工
sii,False,563,6269,台郡,109/03/23,3,"19,340,481,462","25,000,000",70.00,120.00,109/04/01,109/05/23,Y,,0,0,0.00,0,0.00,0.00,本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。,維護公司信用及股東權益並辦理註銷
sii,False,563,6269,台郡,110/05/05,3,"19,047,942,934","15,000,000",95.00,130.00,110/05/06,110/07/05,Y,,"9,802,000","9,802,000",65.35,"1,131,818,363",115.47,2.71,本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。,維護公司信用及股東權益並辦理註銷
sii,False,563,6269,台郡,111/02/09,3,"22,265,504,972","15,000,000",86.00,117.00,111/02/10,111/04/08,Y,,"15,000,000","15,000,000",100.00,"1,442,539,245",96.17,4.27,,維護公司信用及股東權益並辦理註銷
sii,False,563,6269,台郡,111/03/16,3,"20,597,377,177","15,000,000",80.00,117.00,111/03/18,111/05/16,Y,,"15,000,000","15,000,000",100.00,"1,481,906,061",98.79,4.28,,維護公司信用及股東權益並辦理註銷
sii,False,563,6269,台郡,114/05/08,1,"20,241,997,803","10,000,000",43.00,70.00,114/05/09,114/07/07,Y,,"3,300,000",,33.00,"168,972,592",51.20,1.02,本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。,轉讓股份予員工
sii,True,累計,6269,台郡,----,----,----,"160,000,000",----,----,----,----,----,,"86,245,000","82,945,000",53.90,"7,501,329,287",----,----,----,----
sii,False,564,6271,同欣電,97/11/18,3,"2,050,275,869","4,000,000",25.00,50.00,97/11/19,98/01/18,Y,,"791,000","791,000",19.78,"22,147,704",28.00,0.69,協調市場機制、有效資金運用、維護股東權益,維護公司信用及股東權益並辦理註銷
